name,price,url
BOUCLÉ COAT WITH MANTECO WOOL ZW COLLECTION,149.00 EUR,https://www.zara.com/de/en/boucle-coat-with-manteco-wool-zw-collection-p09543778.html
ZW COLLECTION FAUX FUR JACKET,99.95 EUR,https://www.zara.com/de/en/zw-collection-faux-fur-jacket-p08490241.html
MANTECO WOOL BLEND OVERSIZE COAT ZW COLLECTION,139.00 EUR,https://www.zara.com/de/en/manteco-wool-blend-oversize-coat-zw-collection-p09149638.html
SOFT BUTTON COAT,39.95 EUR,https://www.zara.com/de/en/soft-button-coat-p05070660.html
CONTRAST COAT WITH DETACHABLE HOOD,69.95 EUR,https://www.zara.com/de/en/contrast-coat-with-detachable-hood-p08073264.html
LIMITED EDITION OVERSIZED LONG COAT,229.00 EUR,https://www.zara.com/de/en/limited-edition-oversized-long-coat-p08517808.html
ZW COLLECTION BELTED WOOL COAT,149.00 EUR,https://www.zara.com/de/en/zw-collection-belted-wool-coat-p03811241.html
ZW COLLECTION FAUX FUR SHORT COAT,119.00 EUR,https://www.zara.com/de/en/zw-collection-faux-fur-short-coat-p03833241.html
DOUBLE-FACED CROPPED 100% LEATHER COAT,579.00 EUR,https://www.zara.com/de/en/double-faced-cropped-100-leather-coat-p01814200.html
ANIMAL PRINT FAUX FUR COAT ZW COLLECTION,179.00 EUR,https://www.zara.com/de/en/animal-print-faux-fur-coat-zw-collection-p02212240.html
FAUX FUR JACKET ZW COLLECTION,79.95 EUR,https://www.zara.com/de/en/faux-fur-jacket-zw-collection-p03833240.html
WOOL BLEND DOUBLE-BREASTED COAT,79.95 EUR,https://www.zara.com/de/en/wool-blend-double-breasted-coat-p09037141.html
WATER RESISTANT COATED JACKET ZW COLLECTION,79.95 EUR,https://www.zara.com/de/en/water-resistant-coated-jacket-zw-collection-p02969259.html
ZW COLLECTION WOOL BLEND SCARF COAT,179.00 EUR,https://www.zara.com/de/en/zw-collection-wool-blend-scarf-coat-p07522244.html
SOFT HOODED BELTED COAT,49.95 EUR,https://www.zara.com/de/en/soft-hooded-belted-coat-p03046328.html
LIMITED EDITION 100% WOOL COAT,279.00 EUR,https://www.zara.com/de/en/limited-edition-100-wool-coat-p03692950.html
SOFT BUTTON COAT,39.95 EUR,https://www.zara.com/de/en/soft-button-coat-p05070660.html
ZW COLLECTION WOOL BLEND BELTED COAT,199.00 EUR,https://www.zara.com/de/en/zw-collection-wool-blend-belted-coat-p07522247.html
LNG CRDGN 14,99.95 EUR,https://www.zara.com/de/en/lng-crdgn-14-p03039307.html
100% WOOL KNIT COAT,119.00 EUR,https://www.zara.com/de/en/100-wool-knit-coat-p04192117.html
WOOL BLEND DOUBLE-BREASTED COAT,79.95 EUR,https://www.zara.com/de/en/wool-blend-double-breasted-coat-p09037141.html
ZW COLLECTION CROPPED WOOL COAT,89.95 EUR,https://www.zara.com/de/en/zw-collection-cropped-wool-coat-p08491243.html
ZW COLLECTION DOUBLE-FACED COAT,89.95 EUR,https://www.zara.com/de/en/zw-collection-double-faced-coat-p03548243.html
LIMITED EDITION DOUBLE-FACED CAPE COAT,229.00 EUR,https://www.zara.com/de/en/limited-edition-double-faced-cape-coat-p03692951.html
WOOL BLEND DOUBLE-BREASTED COAT,79.95 EUR,https://www.zara.com/de/en/wool-blend-double-breasted-coat-p09340141.html
SOFT HOODED BELTED COAT,49.95 EUR,https://www.zara.com/de/en/soft-hooded-belted-coat-p03046328.html
ZW COLLECTION FAUX FUR COAT,149.00 EUR,https://www.zara.com/de/en/zw-collection-faux-fur-coat-p02969255.html
ANIMAL PRINT FAUX FUR COAT,119.00 EUR,https://www.zara.com/de/en/animal-print-faux-fur-coat-p04391772.html
ANIMAL PRINT FAUX FUR COAT,69.95 EUR,https://www.zara.com/de/en/animal-print-faux-fur-coat-p08073270.html
WIDE LAPEL 100% WOOL COAT,119.00 EUR,https://www.zara.com/de/en/wide-lapel-100-wool-coat-p02893172.html
ANIMAL PRINT FAUX FUR COAT,79.95 EUR,https://www.zara.com/de/en/animal-print-faux-fur-coat-p01255771.html
MANTECO WOOL BLEND COAT ZW COLLECTION,119.00 EUR,https://www.zara.com/de/en/manteco-wool-blend-coat-zw-collection-p09356724.html
FAUX FUR COAT WITH JEWEL BEADING,89.95 EUR,https://www.zara.com/de/en/faux-fur-coat-with-jewel-beading-p03920197.html
SHORT FAUX FUR COAT,69.95 EUR,https://www.zara.com/de/en/short-faux-fur-coat-p03920196.html
SOFT LONG COAT,69.95 EUR,https://www.zara.com/de/en/soft-long-coat-p08372302.html
FAUX FUR WAISTCOAT ZW COLLECTION,59.95 EUR,https://www.zara.com/de/en/faux-fur-waistcoat-zw-collection-p08490240.html
ANIMAL PRINT WOOL BLEND COAT ZW COLLECTION,149.00 EUR,https://www.zara.com/de/en/animal-print-wool-blend-coat-zw-collection-p08340701.html
SHORT HERRINGBONE WOOL COAT ZW COLLECTION,89.95 EUR,https://www.zara.com/de/en/short-herringbone-wool-coat-zw-collection-p07522248.html
JEWELLED FAUX FUR COAT ZW COLLECTION,119.00 EUR,https://www.zara.com/de/en/jewelled-faux-fur-coat-zw-collection-p04360248.html
SHORT DOUBLE-BREASTED COAT,49.95 EUR,https://www.zara.com/de/en/short-double-breasted-coat-p08372289.html
COAT,59.95 EUR,https://www.zara.com/de/en/coat-p08741269.html
ASYMMETRIC WOOL BLEND CAPE ZW COLLECTION,119.00 EUR,https://www.zara.com/de/en/asymmetric-wool-blend-cape-zw-collection-p08619451.html
OVERSIZED WOOL BLEND COAT X STEFANO PILATI,219.00 EUR,https://www.zara.com/de/en/oversized-wool-blend-coat-x-stefano-pilati-p09214878.html
ZW COLLECTION BUTTONED COAT,99.95 EUR,https://www.zara.com/de/en/zw-collection-buttoned-coat-p09169707.html
ZW COLLECTION 100% WOOL COAT,199.00 EUR,https://www.zara.com/de/en/zw-collection-100-wool-coat-p08491253.html
ZW COLLECTION KIMONO TRENCH COAT,79.95 EUR,https://www.zara.com/de/en/zw-collection-kimono-trench-coat-p08288022.html
ZW COLLECTION LONG CHECK COAT,179.00 EUR,https://www.zara.com/de/en/zw-collection-long-check-coat-p09492780.html
LONG WOOL FROCK COAT ZW COLLECTION,119.00 EUR,https://www.zara.com/de/en/long-wool-frock-coat-zw-collection-p09260514.html
KNIT JACQUARD COAT,79.95 EUR,https://www.zara.com/de/en/knit-jacquard-coat-p09598106.html
ZW COLLECTION WOOL BLEND COAT WITH BELT,119.00 EUR,https://www.zara.com/de/en/zw-collection-wool-blend-coat-with-belt-p08491246.html
ZW COLLECTION COMBINED WOOL COAT,199.00 EUR,https://www.zara.com/de/en/zw-collection-combined-wool-coat-p09632727.html
ZW COLLECTION 100% WOOL COAT,149.00 EUR,https://www.zara.com/de/en/zw-collection-100-wool-coat-p09285510.html
ANIMAL PRINT FAUX FUR COAT ZW COLLECTION,149.00 EUR,https://www.zara.com/de/en/animal-print-faux-fur-coat-zw-collection-p02212241.html
LONG 100% LEATHER COAT ZW COLLECTION,599.00 EUR,https://www.zara.com/de/en/long-100-leather-coat-zw-collection-p03322246.html
PRK FLD 13,99.95 EUR,https://www.zara.com/de/en/prk-fld-13-p08328251.html
LEATHER COAT WITH CRINKLE EFFECT ZW COLLECTION,299.00 EUR,https://www.zara.com/de/en/leather-coat-with-crinkle-effect-zw-collection-p03436240.html
